epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,   186,          0.47724,          0.47699,       0.00024383,           14.612,           21.584,           7.4668,           10.251
    1,   187,          0.39529,          0.39514,       0.00015065,           13.692,           19.645,           6.6599,           8.0577
    1,   188,          0.55763,           0.5574,       0.00023471,           15.785,           23.333,            7.743,           10.055
    1,   189,          0.42146,           0.4213,        0.0001663,           13.801,           20.285,            6.724,           8.4649
    1,   190,          0.53253,          0.53224,       0.00029119,           15.564,             22.8,           8.9857,           11.199
    2,     1,          0.41799,          0.41768,       0.00030883,           13.691,           20.198,           9.9983,           11.531
    2,     2,          0.30176,          0.30163,       0.00012837,           12.102,           17.164,           6.1061,           7.4341
    2,     3,          0.50302,          0.50286,       0.00016486,           15.243,           22.162,           6.4821,           8.4249
    2,     4,          0.38521,          0.38495,       0.00026164,           12.974,            19.39,           8.7061,            10.62
    2,     5,          0.44107,          0.44078,        0.0002865,           14.493,           20.749,            8.658,           11.106
    2,     6,          0.50954,           0.5094,       0.00013542,           14.976,           22.305,           5.9188,           7.6356
    2,     7,          0.47637,          0.47612,       0.00024858,           14.441,           21.565,           8.1131,           10.344
    2,     8,          0.38698,          0.38679,       0.00018757,           13.657,           19.437,           6.9737,           8.9902
    2,     9,          0.56363,          0.56351,       0.00012137,           14.737,            23.46,           5.4665,           7.2341
    2,    10,          0.43004,          0.42975,        0.0002919,           14.078,           20.487,           9.2721,           11.212
    2,    11,          0.45328,          0.45282,       0.00046384,           14.151,            21.03,           10.821,           14.134
    2,    12,          0.40529,          0.40498,       0.00030913,           13.811,           19.888,           9.2118,           11.533
    2,    13,          0.37373,          0.37357,       0.00016225,             13.2,           19.102,           6.7061,           8.3602
    2,    14,          0.33339,          0.33322,       0.00017218,           12.548,            18.04,           6.9746,           8.6198
    2,    15,          0.29906,          0.29894,       0.00011263,           12.296,           17.087,           5.4539,           6.9647
    2,    16,           0.3344,          0.33426,       0.00014133,           12.428,           18.069,           6.0926,           7.8029
    2,    17,          0.36503,           0.3648,       0.00023075,            13.03,           18.876,           8.1753,            9.976
    2,    18,          0.45675,          0.45656,       0.00018519,           13.763,           21.117,           7.1094,           8.9309
    2,    19,          0.37898,          0.37888,       9.6062e-05,           13.207,           19.237,           4.9693,           6.4344
    2,    20,          0.49257,          0.49228,       0.00029684,           14.921,           21.927,           9.5351,           11.307
    2,    21,          0.37537,          0.37525,        0.0001239,           13.198,           19.144,           5.4991,           7.3027
    2,    22,          0.37539,          0.37521,       0.00018381,           13.562,           19.143,           7.1599,           8.8991
    2,    23,          0.32315,          0.32299,       0.00016081,           12.838,           17.761,           6.2849,           8.3249
    2,    24,          0.53037,          0.53022,       0.00014478,           14.764,           22.757,           6.4408,           7.9007
    2,    25,          0.37195,          0.37183,       0.00011857,           12.755,           19.057,           5.6329,           7.1435
    2,    26,          0.39562,          0.39537,       0.00024826,           13.457,           19.651,            8.533,           10.335
    2,    27,          0.28695,          0.28674,       0.00020722,           11.456,           16.735,           7.5318,           9.4505
    2,    28,          0.33071,           0.3306,       0.00010301,           12.464,           17.969,           4.7509,            6.663
    2,    29,          0.45778,          0.45748,       0.00030023,           14.563,           21.138,            9.421,           11.369
    2,    30,          0.40972,          0.40932,        0.0003994,            13.19,           19.995,           9.7977,           13.113
    2,    31,           0.4186,          0.41844,       0.00015776,           13.614,           20.216,           6.3187,           8.2467
    2,    32,          0.40118,          0.40095,       0.00023114,           13.469,           19.789,           8.2843,           9.9785
    2,    33,          0.35405,          0.35389,       0.00016104,           13.081,           18.592,           6.6791,           8.3294
    2,    34,          0.42056,          0.42033,       0.00023139,            13.64,           20.262,           7.9245,           9.9838
    2,    35,          0.35125,          0.35114,       0.00010847,           12.426,           18.519,           5.8951,            6.834
    2,    36,          0.36336,          0.36322,       0.00014097,           12.822,           18.835,           5.8852,           7.7878
    2,    37,          0.29648,          0.29633,       0.00014945,           12.117,           17.012,           6.6354,           8.0219
    2,    38,            0.305,          0.30483,       0.00017237,           12.096,           17.255,           7.2795,           8.6189
    2,    39,           0.4154,          0.41525,       0.00015639,           12.504,           20.139,           6.0486,           8.2049
    2,    40,          0.47128,          0.47108,       0.00019681,           13.984,            21.45,           7.2762,           9.2126
    2,    41,          0.43487,          0.43471,       0.00015943,           14.191,           20.605,           6.3416,           8.2849
    2,    42,          0.37975,          0.37951,        0.0002362,           13.033,           19.253,           8.1326,           10.088
    2,    43,           0.3687,          0.36844,       0.00026467,           13.003,            18.97,           8.6282,           10.675
    2,    44,          0.43613,          0.43597,       0.00016317,           13.609,           20.635,           6.2315,           8.3854
    2,    45,          0.45794,          0.45776,       0.00017791,           14.371,           21.145,           6.4948,           8.7557
    2,    46,          0.33269,          0.33252,       0.00017532,           11.999,           18.021,           7.0115,           8.6834
    2,    47,           0.3556,          0.35539,       0.00020397,            13.03,           18.631,           7.2999,           9.3729
    2,    48,          0.37111,          0.37078,       0.00032729,            13.51,            19.03,             9.24,           11.876
    2,    49,          0.31692,          0.31666,       0.00025925,           12.185,           17.586,           8.6064,           10.566
    2,    50,          0.41132,          0.41096,       0.00035632,           13.958,           20.035,           10.127,           12.388
    2,    51,           0.4468,          0.44659,       0.00020938,           14.421,           20.885,           7.4716,           9.4998
    2,    52,          0.33847,           0.3383,       0.00017059,           12.268,           18.177,           6.6361,           8.5682
    2,    53,           0.3745,          0.37436,       0.00014685,           13.483,           19.122,           6.1104,           7.9489
